frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
1,2000-02-10 05:14:28.051000,0.000000,2.334174e+01,2.327943e+01,2.327250e+01,2.341094e+01,2.366656e+01,2.310505e+01
2,2000-02-10 05:14:28.211000,0.160000,2.332097e+01,2.327943e+01,2.325172e+01,2.330020e+01,2.368036e+01,2.310099e+01
3,2000-02-10 05:14:28.371000,0.320000,2.338326e+01,2.334174e+01,2.324479e+01,2.330713e+01,2.360444e+01,2.310488e+01
4,2000-02-10 05:14:28.531000,0.480000,2.332097e+01,2.327943e+01,2.330713e+01,2.340402e+01,2.357682e+01,2.310701e+01
5,2000-02-10 05:14:28.691000,0.640000,2.327250e+01,2.327943e+01,2.330713e+01,2.332097e+01,2.361135e+01,2.310417e+01
6,2000-02-10 05:14:28.851000,0.800000,2.329328e+01,2.324479e+01,2.328635e+01,2.336943e+01,2.362515e+01,2.310428e+01
7,2000-02-10 05:14:29.011000,0.960000,2.330020e+01,2.325172e+01,2.323786e+01,2.334866e+01,2.359063e+01,2.309295e+01
8,2000-02-10 05:14:29.171000,1.120000,2.333482e+01,2.323786e+01,2.321014e+01,2.325865e+01,2.353537e+01,2.307689e+01
9,2000-02-10 05:14:29.331000,1.280000,2.325172e+01,2.325865e+01,2.319628e+01,2.336251e+01,2.352847e+01,2.306748e+01
10,2000-02-10 05:14:29.491000,1.440000,2.341094e+01,2.339710e+01,2.341786e+01,2.329328e+01,2.366656e+01,2.308429e+01
11,2000-02-10 05:14:29.651000,1.600000,2.347318e+01,2.370795e+01,2.392844e+01,2.334866e+01,2.374933e+01,2.310684e+01
12,2000-02-10 05:14:29.811000,1.760000,2.359063e+01,2.390091e+01,2.400413e+01,2.347318e+01,2.379069e+01,2.314375e+01
13,2000-02-10 05:14:29.971000,1.920000,2.368036e+01,2.403851e+01,2.418280e+01,2.369416e+01,2.372865e+01,2.316518e+01
14,2000-02-10 05:14:30.131000,2.080000,2.377001e+01,2.427888e+01,2.434060e+01,2.367346e+01,2.377001e+01,2.318716e+01
15,2000-02-10 05:14:30.291000,2.240000,2.379069e+01,2.446393e+01,2.448447e+01,2.374244e+01,2.375623e+01,2.321240e+01
16,2000-02-10 05:14:30.451000,2.400000,2.399037e+01,2.454607e+01,2.450500e+01,2.391467e+01,2.381137e+01,2.323697e+01
17,2000-02-10 05:14:30.611000,2.560000,2.392844e+01,2.458027e+01,2.462130e+01,2.399037e+01,2.385959e+01,2.325591e+01
18,2000-02-10 05:14:30.772000,2.721000,2.396285e+01,2.475796e+01,2.473747e+01,2.404538e+01,2.377691e+01,2.327594e+01
19,2000-02-10 05:14:30.932000,2.881000,2.400413e+01,2.476479e+01,2.474430e+01,2.416220e+01,2.379758e+01,2.329401e+01
20,2000-02-10 05:14:31.092000,3.041000,2.402476e+01,2.486034e+01,2.477162e+01,2.417593e+01,2.388025e+01,2.329151e+01
21,2000-02-10 05:14:31.252000,3.201000,2.409350e+01,2.505117e+01,2.487398e+01,2.431317e+01,2.390779e+01,2.330438e+01
