frame,abstime,reltime,april10_baselineBoardB_3.seq:Rectangle 1 [C]:max,april10_baselineBoardB_3.seq:Polygon 1 [C]:max,april10_baselineBoardB_3.seq:Rectangle 2 [C]:max,april10_baselineBoardB_3.seq:Rectangle 3 [C]:max,april10_baselineBoardB_3.seq:Rectangle 4 [C]:max,april10_baselineBoardB_3.seq:Rectangle 5 [C]:mean
1,2000-02-10 05:51:14.573000,0.000000,2.441598e+01,2.374244e+01,2.366656e+01,2.368726e+01,2.442968e+01,2.352561e+01
2,2000-02-10 05:51:14.733000,0.160000,2.445708e+01,2.378380e+01,2.371485e+01,2.370106e+01,2.441598e+01,2.352555e+01
3,2000-02-10 05:51:14.893000,0.320000,2.450500e+01,2.376312e+01,2.375623e+01,2.367346e+01,2.428574e+01,2.352238e+01
4,2000-02-10 05:51:15.053000,0.480000,2.447762e+01,2.374244e+01,2.376312e+01,2.373554e+01,2.427888e+01,2.352379e+01
5,2000-02-10 05:51:15.213000,0.640000,2.448447e+01,2.378380e+01,2.369416e+01,2.362515e+01,2.432003e+01,2.352508e+01
6,2000-02-10 05:51:15.373000,0.800000,2.434060e+01,2.372175e+01,2.374933e+01,2.362515e+01,2.422398e+01,2.352203e+01
7,2000-02-10 05:51:15.533000,0.960000,2.439543e+01,2.378380e+01,2.381137e+01,2.369416e+01,2.416906e+01,2.352015e+01
8,2000-02-10 05:51:15.693000,1.120000,2.444338e+01,2.374244e+01,2.368726e+01,2.370106e+01,2.419653e+01,2.351834e+01
9,2000-02-10 05:51:15.853000,1.280000,2.439543e+01,2.385270e+01,2.389402e+01,2.385270e+01,2.429945e+01,2.353503e+01
10,2000-02-10 05:51:16.013000,1.440000,2.451869e+01,2.404538e+01,2.418280e+01,2.374933e+01,2.447077e+01,2.356398e+01
11,2000-02-10 05:51:16.173000,1.600000,2.454607e+01,2.427202e+01,2.442968e+01,2.395597e+01,2.450500e+01,2.359628e+01
12,2000-02-10 05:51:16.333000,1.760000,2.447762e+01,2.443653e+01,2.463498e+01,2.396285e+01,2.450500e+01,2.362104e+01
13,2000-02-10 05:51:16.493000,1.920000,2.457343e+01,2.460763e+01,2.468965e+01,2.407288e+01,2.455291e+01,2.364397e+01
14,2000-02-10 05:51:16.653000,2.080000,2.467599e+01,2.478527e+01,2.489444e+01,2.416220e+01,2.452554e+01,2.367800e+01
