frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
1,2000-02-10 06:31:42.317000,0.000000,2.357682e+01,2.394909e+01,2.358373e+01,2.354919e+01,2.348700e+01,2.338044e+01
2,2000-02-10 06:31:42.477000,0.160000,2.362515e+01,2.405913e+01,2.369416e+01,2.363206e+01,2.352155e+01,2.337439e+01
3,2000-02-10 06:31:42.637000,0.320000,2.354919e+01,2.403851e+01,2.363206e+01,2.369416e+01,2.351464e+01,2.339617e+01
4,2000-02-10 06:31:42.797000,0.480000,2.356301e+01,2.401100e+01,2.357682e+01,2.363206e+01,2.365276e+01,2.339597e+01
5,2000-02-10 06:31:42.957000,0.640000,2.350082e+01,2.407288e+01,2.365276e+01,2.364586e+01,2.351464e+01,2.339681e+01
6,2000-02-10 06:31:43.117000,0.800000,2.354919e+01,2.403163e+01,2.360444e+01,2.356991e+01,2.348009e+01,2.339294e+01
7,2000-02-10 06:31:43.277000,0.960000,2.356301e+01,2.397661e+01,2.366656e+01,2.358373e+01,2.351464e+01,2.339529e+01
8,2000-02-10 06:31:43.437000,1.120000,2.354228e+01,2.395597e+01,2.364586e+01,2.359754e+01,2.351464e+01,2.339791e+01
9,2000-02-10 06:31:43.597000,1.280000,2.365966e+01,2.402476e+01,2.382515e+01,2.362515e+01,2.360444e+01,2.341245e+01
10,2000-02-10 06:31:43.757000,1.440000,2.387336e+01,2.408663e+01,2.419653e+01,2.373554e+01,2.370106e+01,2.342902e+01
11,2000-02-10 06:31:43.917000,1.600000,2.388713e+01,2.427888e+01,2.439543e+01,2.383204e+01,2.382515e+01,2.346234e+01
12,2000-02-10 06:31:44.077000,1.760000,2.392844e+01,2.436802e+01,2.461447e+01,2.382515e+01,2.384581e+01,2.348446e+01
13,2000-02-10 06:31:44.237000,1.920000,2.412098e+01,2.450500e+01,2.469649e+01,2.390779e+01,2.390779e+01,2.350734e+01
14,2000-02-10 06:31:44.397000,2.080000,2.412098e+01,2.466915e+01,2.481940e+01,2.401788e+01,2.397661e+01,2.353169e+01
15,2000-02-10 06:31:44.557000,2.240000,2.414159e+01,2.482622e+01,2.490808e+01,2.413472e+01,2.398349e+01,2.355612e+01
16,2000-02-10 06:31:44.717000,2.400000,2.417593e+01,2.485351e+01,2.499668e+01,2.424457e+01,2.400413e+01,2.357563e+01
17,2000-02-10 06:31:44.877000,2.560000,2.423771e+01,2.501031e+01,2.508521e+01,2.430631e+01,2.410724e+01,2.359844e+01
18,2000-02-10 06:31:45.037000,2.720000,2.431317e+01,2.504436e+01,2.514646e+01,2.437487e+01,2.407288e+01,2.360840e+01
19,2000-02-10 06:31:45.197000,2.880000,2.443653e+01,2.520767e+01,2.522127e+01,2.441598e+01,2.414846e+01,2.363326e+01
20,2000-02-10 06:31:45.357000,3.040000,2.439543e+01,2.523486e+01,2.524846e+01,2.451185e+01,2.409350e+01,2.365351e+01
21,2000-02-10 06:31:45.517000,3.200000,2.435431e+01,2.535715e+01,2.539109e+01,2.462130e+01,2.412098e+01,2.367339e+01
22,2000-02-10 06:31:45.677000,3.360000,2.449816e+01,2.553353e+01,2.541145e+01,2.471015e+01,2.418966e+01,2.368549e+01
23,2000-02-10 06:31:45.837000,3.520000,2.442968e+01,2.545894e+01,2.543859e+01,2.475113e+01,2.418280e+01,2.370832e+01
24,2000-02-10 06:31:45.997000,3.680000,2.449816e+01,2.563515e+01,2.547929e+01,2.484669e+01,2.427888e+01,2.372740e+01
25,2000-02-10 06:31:46.157000,3.840000,2.451185e+01,2.553353e+01,2.560806e+01,2.486716e+01,2.415533e+01,2.373865e+01
26,2000-02-10 06:31:46.318000,4.001000,2.461447e+01,2.562161e+01,2.554031e+01,2.489444e+01,2.418966e+01,2.375088e+01
27,2000-02-10 06:31:46.477000,4.160000,2.459395e+01,2.581783e+01,2.550641e+01,2.493535e+01,2.423771e+01,2.377429e+01
28,2000-02-10 06:31:46.638000,4.321000,2.460763e+01,2.583811e+01,2.564869e+01,2.498987e+01,2.424457e+01,2.379170e+01
29,2000-02-10 06:31:46.798000,4.481000,2.465549e+01,2.587865e+01,2.567577e+01,2.503074e+01,2.421712e+01,2.381015e+01
30,2000-02-10 06:31:46.958000,4.641000,2.477844e+01,2.585162e+01,2.564869e+01,2.512605e+01,2.421026e+01,2.382116e+01
31,2000-02-10 06:31:47.118000,4.801000,2.473747e+01,2.585838e+01,2.571638e+01,2.506479e+01,2.427888e+01,2.383343e+01
32,2000-02-10 06:31:47.278000,4.961000,2.473064e+01,2.601369e+01,2.569608e+01,2.516687e+01,2.428574e+01,2.384614e+01
33,2000-02-10 06:31:47.438000,5.121000,2.480575e+01,2.597319e+01,2.575021e+01,2.517367e+01,2.433374e+01,2.385903e+01
34,2000-02-10 06:31:47.598000,5.281000,2.476479e+01,2.598669e+01,2.578402e+01,2.516687e+01,2.429259e+01,2.386909e+01
35,2000-02-10 06:31:47.758000,5.441000,2.473747e+01,2.602044e+01,2.585838e+01,2.522127e+01,2.428574e+01,2.388364e+01
36,2000-02-10 06:31:47.918000,5.601000,2.480575e+01,2.610811e+01,2.582459e+01,2.527564e+01,2.425143e+01,2.390376e+01
37,2000-02-10 06:31:48.078000,5.761000,2.486034e+01,2.612159e+01,2.585838e+01,2.531640e+01,2.423771e+01,2.391434e+01
38,2000-02-10 06:31:48.238000,5.921000,2.489444e+01,2.609463e+01,2.591918e+01,2.531640e+01,2.431317e+01,2.392073e+01
39,2000-02-10 06:31:48.398000,6.081000,2.494898e+01,2.616877e+01,2.593269e+01,2.535036e+01,2.427888e+01,2.393221e+01
