frame,abstime,reltime,april10_baselineBoardE_1.seq:Rectangle 1 [C]:max,april10_baselineBoardE_1.seq:Polygon 1 [C]:max,april10_baselineBoardE_1.seq:Rectangle 2 [C]:max,april10_baselineBoardE_1.seq:Rectangle 3 [C]:max,april10_baselineBoardE_1.seq:Rectangle 4 [C]:max,april10_baselineBoardE_1.seq:Rectangle 5 [C]:mean
1,2000-02-10 08:07:25.344000,0.000000,2.460763e+01,2.399037e+01,2.402476e+01,2.409350e+01,2.425830e+01,2.379794e+01
2,2000-02-10 08:07:25.504000,0.160000,2.454607e+01,2.396973e+01,2.400413e+01,2.401100e+01,2.423085e+01,2.379966e+01
3,2000-02-10 08:07:25.664000,0.320000,2.459395e+01,2.399725e+01,2.393532e+01,2.396285e+01,2.427888e+01,2.380064e+01
4,2000-02-10 08:07:25.824000,0.480000,2.460079e+01,2.404538e+01,2.407288e+01,2.413472e+01,2.425830e+01,2.380763e+01
5,2000-02-10 08:07:25.984000,0.640000,2.460079e+01,2.402476e+01,2.411411e+01,2.392844e+01,2.427888e+01,2.380283e+01
6,2000-02-10 08:07:26.142000,0.798000,2.468282e+01,2.402476e+01,2.402476e+01,2.402476e+01,2.428574e+01,2.380535e+01
7,2000-02-10 08:07:26.302000,0.958000,2.453922e+01,2.404538e+01,2.401100e+01,2.406601e+01,2.415533e+01,2.378303e+01
8,2000-02-10 08:07:26.462000,1.118000,2.453238e+01,2.399037e+01,2.396285e+01,2.400413e+01,2.413472e+01,2.378034e+01
9,2000-02-10 08:07:26.622000,1.278000,2.446393e+01,2.395597e+01,2.401788e+01,2.400413e+01,2.416220e+01,2.378330e+01
10,2000-02-10 08:07:26.782000,1.438000,2.452554e+01,2.406601e+01,2.423771e+01,2.412098e+01,2.414846e+01,2.379007e+01
11,2000-02-10 08:07:26.942000,1.598000,2.453922e+01,2.434060e+01,2.458711e+01,2.410724e+01,2.425143e+01,2.381969e+01
12,2000-02-10 08:07:27.102000,1.758000,2.479892e+01,2.451869e+01,2.468965e+01,2.423085e+01,2.435431e+01,2.384546e+01
13,2000-02-10 08:07:27.262000,1.918000,2.469649e+01,2.474430e+01,2.481940e+01,2.422398e+01,2.442283e+01,2.385434e+01
14,2000-02-10 08:07:27.422000,2.078000,2.474430e+01,2.492171e+01,2.492171e+01,2.434060e+01,2.447077e+01,2.387552e+01
15,2000-02-10 08:07:27.582000,2.238000,2.477162e+01,2.505117e+01,2.507841e+01,2.439543e+01,2.442283e+01,2.389116e+01
16,2000-02-10 08:07:27.742000,2.398000,2.478527e+01,2.518727e+01,2.513966e+01,2.458711e+01,2.447762e+01,2.391577e+01
17,2000-02-10 08:07:27.902000,2.558000,2.483305e+01,2.526205e+01,2.526884e+01,2.457343e+01,2.455975e+01,2.395033e+01
18,2000-02-10 08:07:28.062000,2.718000,2.487398e+01,2.541145e+01,2.538430e+01,2.475113e+01,2.462130e+01,2.397336e+01
19,2000-02-10 08:07:28.222000,2.878000,2.491490e+01,2.550641e+01,2.541823e+01,2.475113e+01,2.460079e+01,2.398433e+01
20,2000-02-10 08:07:28.382000,3.038000,2.493535e+01,2.548607e+01,2.551997e+01,2.486034e+01,2.458711e+01,2.400392e+01
21,2000-02-10 08:07:28.543000,3.199000,2.503074e+01,2.554708e+01,2.547929e+01,2.497624e+01,2.457343e+01,2.402221e+01
22,2000-02-10 08:07:28.702000,3.358000,2.506479e+01,2.567577e+01,2.555386e+01,2.514646e+01,2.463498e+01,2.404307e+01
23,2000-02-10 08:07:28.862000,3.518000,2.516006e+01,2.572991e+01,2.562838e+01,2.502393e+01,2.464865e+01,2.405499e+01
24,2000-02-10 08:07:29.023000,3.679000,2.513285e+01,2.579078e+01,2.570285e+01,2.509883e+01,2.464865e+01,2.407581e+01
25,2000-02-10 08:07:29.183000,3.839000,2.517367e+01,2.593944e+01,2.570285e+01,2.511244e+01,2.463498e+01,2.409278e+01
26,2000-02-10 08:07:29.343000,3.999000,2.520087e+01,2.596644e+01,2.571638e+01,2.516006e+01,2.468282e+01,2.411492e+01
27,2000-02-10 08:07:29.503000,4.159000,2.526884e+01,2.610137e+01,2.575021e+01,2.524846e+01,2.468965e+01,2.412014e+01
28,2000-02-10 08:07:29.663000,4.319000,2.507160e+01,2.603393e+01,2.579078e+01,2.522127e+01,2.471015e+01,2.413899e+01
29,2000-02-10 08:07:29.823000,4.479000,2.509883e+01,2.616877e+01,2.583135e+01,2.524846e+01,2.474430e+01,2.415632e+01
30,2000-02-10 08:07:29.983000,4.639000,2.515326e+01,2.613507e+01,2.592593e+01,2.529602e+01,2.474430e+01,2.416760e+01
31,2000-02-10 08:07:30.143000,4.799000,2.514646e+01,2.620918e+01,2.586514e+01,2.534357e+01,2.478527e+01,2.418009e+01
