frame,abstime,reltime,april11_microphoneBoardA_0_0.seq:Rectangle 1 [C]:max,april11_microphoneBoardA_0_0.seq:Polygon 1 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 2 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 3 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 4 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 5 [C]:mean
1,2000-02-10 21:48:50.802000,0.000000,2.309919e+01,2.294644e+01,2.290474e+01,2.308531e+01,2.294644e+01,2.265517e+01
2,2000-02-10 21:48:50.962000,0.160000,2.302284e+01,2.286302e+01,2.287693e+01,2.292559e+01,2.287693e+01,2.265441e+01
3,2000-02-10 21:48:51.122000,0.320000,2.306450e+01,2.296033e+01,2.291169e+01,2.287693e+01,2.283521e+01,2.264616e+01
4,2000-02-10 21:48:51.282000,0.480000,2.299507e+01,2.292559e+01,2.289779e+01,2.293254e+01,2.301590e+01,2.263822e+01
5,2000-02-10 21:48:51.442000,0.640000,2.296033e+01,2.288388e+01,2.290474e+01,2.296728e+01,2.282825e+01,2.263113e+01
6,2000-02-10 21:48:51.602000,0.800000,2.299507e+01,2.293254e+01,2.290474e+01,2.296033e+01,2.289779e+01,2.262999e+01
7,2000-02-10 21:48:51.762000,0.960000,2.302284e+01,2.303673e+01,2.287693e+01,2.310613e+01,2.286302e+01,2.268498e+01
8,2000-02-10 21:48:51.922000,1.120000,2.300201e+01,2.300896e+01,2.302979e+01,2.296033e+01,2.291864e+01,2.268598e+01
9,2000-02-10 21:48:52.082000,1.280000,2.312694e+01,2.293949e+01,2.297423e+01,2.285607e+01,2.297423e+01,2.268314e+01
10,2000-02-10 21:48:52.242000,1.440000,2.305061e+01,2.300896e+01,2.352155e+01,2.293254e+01,2.293949e+01,2.269595e+01
11,2000-02-10 21:48:52.402000,1.600000,2.308531e+01,2.321014e+01,2.387336e+01,2.300201e+01,2.305755e+01,2.271098e+01
12,2000-02-10 21:48:52.562000,1.760000,2.317548e+01,2.345935e+01,2.425143e+01,2.316162e+01,2.314081e+01,2.272638e+01
13,2000-02-10 21:48:52.722000,1.920000,2.326557e+01,2.357682e+01,2.436116e+01,2.314775e+01,2.324479e+01,2.275289e+01
14,2000-02-10 21:48:52.882000,2.080000,2.334866e+01,2.371485e+01,2.453922e+01,2.318935e+01,2.326557e+01,2.277317e+01
15,2000-02-10 21:48:53.042000,2.240000,2.333482e+01,2.390779e+01,2.462814e+01,2.326557e+01,2.325172e+01,2.279216e+01
16,2000-02-10 21:48:53.202000,2.400000,2.343860e+01,2.395597e+01,2.481257e+01,2.336251e+01,2.327943e+01,2.280935e+01
17,2000-02-10 21:48:53.362000,2.560000,2.340402e+01,2.406601e+01,2.488762e+01,2.344552e+01,2.339018e+01,2.282358e+01
18,2000-02-10 21:48:53.522000,2.720000,2.354228e+01,2.417593e+01,2.504436e+01,2.356991e+01,2.348700e+01,2.284602e+01
19,2000-02-10 21:48:53.682000,2.880000,2.345935e+01,2.429945e+01,2.506479e+01,2.361135e+01,2.343169e+01,2.284811e+01
20,2000-02-10 21:48:53.842000,3.040000,2.350082e+01,2.436802e+01,2.510563e+01,2.370795e+01,2.339710e+01,2.285948e+01
21,2000-02-10 21:48:54.002000,3.200000,2.362515e+01,2.444338e+01,2.524166e+01,2.383892e+01,2.348700e+01,2.294117e+01
22,2000-02-10 21:48:54.162000,3.360000,2.372865e+01,2.456659e+01,2.534357e+01,2.390779e+01,2.354919e+01,2.298384e+01
23,2000-02-10 21:48:54.322000,3.520000,2.371485e+01,2.458711e+01,2.537072e+01,2.394221e+01,2.353537e+01,2.300149e+01
24,2000-02-10 21:48:54.482000,3.680000,2.376312e+01,2.466915e+01,2.534357e+01,2.393532e+01,2.352155e+01,2.300929e+01
25,2000-02-10 21:48:54.642000,3.840000,2.378380e+01,2.471015e+01,2.544537e+01,2.404538e+01,2.365276e+01,2.301836e+01
26,2000-02-10 21:48:54.802000,4.000000,2.374933e+01,2.480575e+01,2.558774e+01,2.407975e+01,2.361135e+01,2.303258e+01
27,2000-02-10 21:48:54.962000,4.160000,2.378380e+01,2.481940e+01,2.547929e+01,2.410037e+01,2.354228e+01,2.304017e+01
28,2000-02-10 21:48:55.123000,4.321000,2.382515e+01,2.487398e+01,2.552675e+01,2.418280e+01,2.357682e+01,2.305123e+01
29,2000-02-10 21:48:55.282000,4.480000,2.388025e+01,2.484669e+01,2.564869e+01,2.422398e+01,2.355610e+01,2.305656e+01
