frame,abstime,reltime,april15_microphoneBoardB_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_0.seq:Polygon 1 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 5 [C]:mean
1,2000-02-14 20:47:10.005000,0.000000,2.312000e+01,2.310613e+01,2.304367e+01,2.319628e+01,2.303673e+01,2.282191e+01
2,2000-02-14 20:47:10.165000,0.160000,2.313388e+01,2.312694e+01,2.303673e+01,2.323786e+01,2.295339e+01,2.281581e+01
3,2000-02-14 20:47:10.325000,0.320000,2.309919e+01,2.318935e+01,2.303673e+01,2.316855e+01,2.305061e+01,2.281875e+01
4,2000-02-14 20:47:10.485000,0.480000,2.305061e+01,2.311307e+01,2.300201e+01,2.319628e+01,2.305755e+01,2.280823e+01
5,2000-02-14 20:47:10.645000,0.640000,2.317548e+01,2.312694e+01,2.298118e+01,2.309225e+01,2.301590e+01,2.279790e+01
6,2000-02-14 20:47:10.805000,0.800000,2.312000e+01,2.311307e+01,2.302284e+01,2.317548e+01,2.306450e+01,2.279651e+01
7,2000-02-14 20:47:10.965000,0.960000,2.311307e+01,2.307837e+01,2.298812e+01,2.326557e+01,2.307837e+01,2.279970e+01
8,2000-02-14 20:47:11.125000,1.120000,2.317548e+01,2.305061e+01,2.309225e+01,2.312694e+01,2.297423e+01,2.279532e+01
9,2000-02-14 20:47:11.285000,1.280000,2.317548e+01,2.303673e+01,2.309919e+01,2.326557e+01,2.304367e+01,2.279713e+01
10,2000-02-14 20:47:11.445000,1.440000,2.318935e+01,2.322400e+01,2.337635e+01,2.318935e+01,2.309225e+01,2.282018e+01
11,2000-02-14 20:47:11.605000,1.600000,2.334866e+01,2.348700e+01,2.360444e+01,2.324479e+01,2.332097e+01,2.283759e+01
12,2000-02-14 20:47:11.765000,1.760000,2.334174e+01,2.371485e+01,2.381137e+01,2.326557e+01,2.332790e+01,2.286374e+01
13,2000-02-14 20:47:11.925000,1.920000,2.337635e+01,2.385270e+01,2.394221e+01,2.339710e+01,2.332097e+01,2.288522e+01
14,2000-02-14 20:47:12.085000,2.080000,2.350773e+01,2.394909e+01,2.410724e+01,2.344552e+01,2.330020e+01,2.290141e+01
15,2000-02-14 20:47:12.245000,2.240000,2.343169e+01,2.408663e+01,2.411411e+01,2.355610e+01,2.330020e+01,2.292316e+01
16,2000-02-14 20:47:12.405000,2.400000,2.352847e+01,2.414159e+01,2.416220e+01,2.368036e+01,2.334866e+01,2.293862e+01
17,2000-02-14 20:47:12.565000,2.560000,2.359754e+01,2.427888e+01,2.432689e+01,2.370106e+01,2.344552e+01,2.295451e+01
18,2000-02-14 20:47:12.725000,2.720000,2.366656e+01,2.439543e+01,2.445023e+01,2.381137e+01,2.352847e+01,2.300626e+01
19,2000-02-14 20:47:12.885000,2.880000,2.377691e+01,2.458027e+01,2.440913e+01,2.388025e+01,2.352155e+01,2.305042e+01
20,2000-02-14 20:47:13.047000,3.042000,2.372175e+01,2.461447e+01,2.450500e+01,2.403163e+01,2.356301e+01,2.306537e+01
21,2000-02-14 20:47:13.207000,3.202000,2.377691e+01,2.466232e+01,2.453238e+01,2.399725e+01,2.353537e+01,2.307998e+01
22,2000-02-14 20:47:13.367000,3.362000,2.379069e+01,2.473064e+01,2.457343e+01,2.415533e+01,2.354919e+01,2.309306e+01
23,2000-02-14 20:47:13.527000,3.522000,2.377001e+01,2.476479e+01,2.453922e+01,2.412098e+01,2.366656e+01,2.310905e+01
24,2000-02-14 20:47:13.687000,3.682000,2.376312e+01,2.484669e+01,2.460079e+01,2.415533e+01,2.362515e+01,2.311130e+01
25,2000-02-14 20:47:13.847000,3.842000,2.390779e+01,2.480575e+01,2.468965e+01,2.434745e+01,2.362515e+01,2.312422e+01
