frame,abstime,reltime,april15_microphoneBoardC_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_0.seq:Polygon 1 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 5 [C]:mean
1,2000-02-14 21:25:30.106000,0.000000,2.345935e+01,2.339018e+01,2.343169e+01,2.357682e+01,2.386648e+01,2.313915e+01
2,2000-02-14 21:25:30.266000,0.160000,2.346626e+01,2.343860e+01,2.339018e+01,2.354919e+01,2.396285e+01,2.313568e+01
3,2000-02-14 21:25:30.426000,0.320000,2.339018e+01,2.335559e+01,2.337635e+01,2.369416e+01,2.388025e+01,2.313518e+01
4,2000-02-14 21:25:30.586000,0.480000,2.341094e+01,2.338326e+01,2.343169e+01,2.359754e+01,2.379069e+01,2.313196e+01
5,2000-02-14 21:25:30.746000,0.640000,2.346626e+01,2.339018e+01,2.350082e+01,2.352155e+01,2.371485e+01,2.312553e+01
6,2000-02-14 21:25:30.906000,0.800000,2.342477e+01,2.337635e+01,2.341094e+01,2.351464e+01,2.379069e+01,2.312786e+01
7,2000-02-14 21:25:31.066000,0.960000,2.350773e+01,2.339710e+01,2.333482e+01,2.345935e+01,2.377691e+01,2.312666e+01
8,2000-02-14 21:25:31.226000,1.120000,2.343860e+01,2.338326e+01,2.344552e+01,2.350773e+01,2.371485e+01,2.312470e+01
9,2000-02-14 21:25:31.386000,1.280000,2.348009e+01,2.342477e+01,2.344552e+01,2.342477e+01,2.373554e+01,2.312210e+01
10,2000-02-14 21:25:31.546000,1.440000,2.369416e+01,2.359754e+01,2.379069e+01,2.359754e+01,2.378380e+01,2.314170e+01
11,2000-02-14 21:25:31.706000,1.600000,2.370106e+01,2.378380e+01,2.396285e+01,2.357682e+01,2.388713e+01,2.316409e+01
