frame,abstime,reltime,april16_microphoneBoardE_0.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_0.seq:Polygon 1 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 5 [C]:mean
1,2000-02-16 05:54:09.377000,0.000000,2.385959e+01,2.381826e+01,2.392156e+01,2.384581e+01,2.503755e+01,2.364859e+01
2,2000-02-16 05:54:09.537000,0.160000,2.385270e+01,2.381826e+01,2.391467e+01,2.385270e+01,2.507841e+01,2.365155e+01
3,2000-02-16 05:54:09.697000,0.320000,2.386648e+01,2.381826e+01,2.387336e+01,2.394909e+01,2.511244e+01,2.364494e+01
4,2000-02-16 05:54:09.857000,0.480000,2.385959e+01,2.385270e+01,2.388025e+01,2.399725e+01,2.506479e+01,2.364631e+01
5,2000-02-16 05:54:10.017000,0.640000,2.390091e+01,2.383892e+01,2.385959e+01,2.403851e+01,2.518727e+01,2.365670e+01
6,2000-02-16 05:54:10.177000,0.800000,2.392156e+01,2.383892e+01,2.394909e+01,2.396285e+01,2.498306e+01,2.365034e+01
7,2000-02-16 05:54:10.337000,0.960000,2.398349e+01,2.383204e+01,2.386648e+01,2.396285e+01,2.499668e+01,2.364256e+01
8,2000-02-16 05:54:10.497000,1.120000,2.383204e+01,2.382515e+01,2.378380e+01,2.385270e+01,2.507841e+01,2.363775e+01
9,2000-02-16 05:54:10.657000,1.280000,2.389402e+01,2.390779e+01,2.382515e+01,2.390779e+01,2.498987e+01,2.363234e+01
10,2000-02-16 05:54:10.817000,1.440000,2.392844e+01,2.389402e+01,2.418280e+01,2.390779e+01,2.504436e+01,2.365292e+01
11,2000-02-16 05:54:10.977000,1.600000,2.403851e+01,2.409350e+01,2.438858e+01,2.392844e+01,2.509202e+01,2.367916e+01
12,2000-02-16 05:54:11.136000,1.759000,2.405913e+01,2.434060e+01,2.458027e+01,2.401788e+01,2.509202e+01,2.369510e+01
13,2000-02-16 05:54:11.297000,1.920000,2.411411e+01,2.447762e+01,2.466232e+01,2.416906e+01,2.521447e+01,2.373887e+01
14,2000-02-16 05:54:11.457000,2.080000,2.427888e+01,2.464181e+01,2.476479e+01,2.423085e+01,2.517367e+01,2.376097e+01
15,2000-02-16 05:54:11.617000,2.240000,2.423771e+01,2.474430e+01,2.490126e+01,2.428574e+01,2.520767e+01,2.378464e+01
16,2000-02-16 05:54:11.777000,2.400000,2.423771e+01,2.476479e+01,2.494217e+01,2.438858e+01,2.523486e+01,2.379735e+01
17,2000-02-16 05:54:11.937000,2.560000,2.427202e+01,2.507160e+01,2.503074e+01,2.461447e+01,2.520767e+01,2.381730e+01
18,2000-02-16 05:54:12.097000,2.720000,2.434745e+01,2.499668e+01,2.509202e+01,2.460763e+01,2.523486e+01,2.383602e+01
19,2000-02-16 05:54:12.257000,2.880000,2.426516e+01,2.524166e+01,2.520087e+01,2.464865e+01,2.529602e+01,2.383620e+01
20,2000-02-16 05:54:12.417000,3.040000,2.439543e+01,2.520087e+01,2.517367e+01,2.471698e+01,2.528923e+01,2.387529e+01
21,2000-02-16 05:54:12.577000,3.200000,2.443653e+01,2.528243e+01,2.532998e+01,2.476479e+01,2.533677e+01,2.389396e+01
22,2000-02-16 05:54:12.737000,3.360000,2.439543e+01,2.539788e+01,2.535036e+01,2.481940e+01,2.529602e+01,2.391150e+01
23,2000-02-16 05:54:12.897000,3.520000,2.445708e+01,2.539788e+01,2.547251e+01,2.490126e+01,2.534357e+01,2.392392e+01
24,2000-02-16 05:54:13.057000,3.680000,2.445708e+01,2.549963e+01,2.537751e+01,2.498987e+01,2.532998e+01,2.393495e+01
25,2000-02-16 05:54:13.217000,3.840000,2.450500e+01,2.551319e+01,2.549963e+01,2.501712e+01,2.535036e+01,2.394706e+01
26,2000-02-16 05:54:13.377000,4.000000,2.451185e+01,2.557419e+01,2.548607e+01,2.516006e+01,2.536394e+01,2.396336e+01
27,2000-02-16 05:54:13.537000,4.160000,2.452554e+01,2.570285e+01,2.548607e+01,2.516687e+01,2.536394e+01,2.397701e+01
28,2000-02-16 05:54:13.697000,4.320000,2.455291e+01,2.568931e+01,2.551319e+01,2.520767e+01,2.536394e+01,2.399530e+01
29,2000-02-16 05:54:13.857000,4.480000,2.460763e+01,2.570285e+01,2.552675e+01,2.521447e+01,2.535715e+01,2.400589e+01
30,2000-02-16 05:54:14.017000,4.640000,2.453922e+01,2.573668e+01,2.561483e+01,2.527564e+01,2.540466e+01,2.401545e+01
31,2000-02-16 05:54:14.177000,4.800000,2.462814e+01,2.575697e+01,2.556741e+01,2.524846e+01,2.533677e+01,2.402333e+01
32,2000-02-16 05:54:14.337000,4.960000,2.464865e+01,2.583811e+01,2.561483e+01,2.531640e+01,2.543180e+01,2.403640e+01
33,2000-02-16 05:54:14.497000,5.120000,2.468965e+01,2.591918e+01,2.570285e+01,2.543859e+01,2.545894e+01,2.408139e+01
34,2000-02-16 05:54:14.657000,5.280000,2.478527e+01,2.591243e+01,2.579078e+01,2.543859e+01,2.545216e+01,2.410855e+01
35,2000-02-16 05:54:14.817000,5.440000,2.479210e+01,2.600694e+01,2.580431e+01,2.558774e+01,2.546572e+01,2.411955e+01
36,2000-02-16 05:54:14.977000,5.600000,2.481257e+01,2.600694e+01,2.585838e+01,2.554708e+01,2.546572e+01,2.413065e+01
37,2000-02-16 05:54:15.137000,5.760000,2.483305e+01,2.597994e+01,2.582459e+01,2.550641e+01,2.544537e+01,2.413941e+01
38,2000-02-16 05:54:15.297000,5.920000,2.485351e+01,2.603393e+01,2.583811e+01,2.558774e+01,2.537072e+01,2.414854e+01
39,2000-02-16 05:54:15.457000,6.080000,2.484669e+01,2.605416e+01,2.587189e+01,2.553353e+01,2.553353e+01,2.416398e+01
40,2000-02-16 05:54:15.617000,6.240000,2.490126e+01,2.608788e+01,2.590567e+01,2.563515e+01,2.536394e+01,2.418408e+01
41,2000-02-16 05:54:15.777000,6.400000,2.498987e+01,2.618224e+01,2.591918e+01,2.567577e+01,2.539788e+01,2.418532e+01
42,2000-02-16 05:54:15.937000,6.560000,2.493535e+01,2.626978e+01,2.595294e+01,2.572991e+01,2.549963e+01,2.419723e+01
