frame,abstime,reltime,april3_baselineBoardD_4.seq:Rectangle 1 [C]:max,april3_baselineBoardD_4.seq:Polygon 1 [C]:max,april3_baselineBoardD_4.seq:Rectangle 2 [C]:max,april3_baselineBoardD_4.seq:Rectangle 3 [C]:max,april3_baselineBoardD_4.seq:Rectangle 4 [C]:max,april3_baselineBoardD_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 07:01:59.759000,0.000000,2.450500e+01,2.403163e+01,2.399725e+01,2.403163e+01,2.399725e+01,2.377269e+01
2,2000-02-03 07:01:59.919000,0.160000,2.444338e+01,2.403163e+01,2.392844e+01,2.394221e+01,2.396973e+01,2.377530e+01
3,2000-02-03 07:02:00.080000,0.321000,2.445708e+01,2.405226e+01,2.398349e+01,2.399725e+01,2.401100e+01,2.377244e+01
4,2000-02-03 07:02:00.239000,0.480000,2.458027e+01,2.399725e+01,2.396973e+01,2.414846e+01,2.401788e+01,2.377680e+01
5,2000-02-03 07:02:00.399000,0.640000,2.450500e+01,2.403851e+01,2.392156e+01,2.405913e+01,2.399725e+01,2.378636e+01
6,2000-02-03 07:02:00.559000,0.800000,2.458027e+01,2.401788e+01,2.394909e+01,2.399037e+01,2.403163e+01,2.378922e+01
7,2000-02-03 07:02:00.719000,0.960000,2.457343e+01,2.409350e+01,2.400413e+01,2.407288e+01,2.401788e+01,2.378463e+01
8,2000-02-03 07:02:00.879000,1.120000,2.460079e+01,2.409350e+01,2.412098e+01,2.405226e+01,2.405226e+01,2.378425e+01
9,2000-02-03 07:02:01.039000,1.280000,2.455291e+01,2.403851e+01,2.402476e+01,2.403163e+01,2.405226e+01,2.378671e+01
10,2000-02-03 07:02:01.199000,1.440000,2.455291e+01,2.429259e+01,2.423085e+01,2.412098e+01,2.416220e+01,2.381202e+01
11,2000-02-03 07:02:01.359000,1.600000,2.469649e+01,2.456659e+01,2.445708e+01,2.418966e+01,2.430631e+01,2.383984e+01
12,2000-02-03 07:02:01.519000,1.760000,2.471698e+01,2.458711e+01,2.473064e+01,2.417593e+01,2.436802e+01,2.386354e+01
13,2000-02-03 07:02:01.679000,1.920000,2.477162e+01,2.475113e+01,2.488762e+01,2.423771e+01,2.443653e+01,2.388562e+01
14,2000-02-03 07:02:01.839000,2.080000,2.471015e+01,2.497624e+01,2.496261e+01,2.430631e+01,2.447762e+01,2.390958e+01
15,2000-02-03 07:02:01.999000,2.240000,2.481257e+01,2.504436e+01,2.526884e+01,2.432689e+01,2.442283e+01,2.393440e+01
16,2000-02-03 07:02:02.159000,2.400000,2.494898e+01,2.523486e+01,2.519407e+01,2.446393e+01,2.458027e+01,2.396077e+01
17,2000-02-03 07:02:02.319000,2.560000,2.495580e+01,2.528243e+01,2.525525e+01,2.464865e+01,2.462814e+01,2.398413e+01
18,2000-02-03 07:02:02.479000,2.720000,2.492853e+01,2.539788e+01,2.535036e+01,2.459395e+01,2.463498e+01,2.400796e+01
19,2000-02-03 07:02:02.639000,2.880000,2.495580e+01,2.543180e+01,2.535715e+01,2.469649e+01,2.465549e+01,2.399367e+01
20,2000-02-03 07:02:02.799000,3.040000,2.499668e+01,2.556064e+01,2.543180e+01,2.484669e+01,2.459395e+01,2.400599e+01
21,2000-02-03 07:02:02.959000,3.200000,2.499668e+01,2.558774e+01,2.548607e+01,2.494217e+01,2.455975e+01,2.402283e+01
22,2000-02-03 07:02:03.119000,3.360000,2.501712e+01,2.570285e+01,2.558097e+01,2.500350e+01,2.458027e+01,2.404425e+01
23,2000-02-03 07:02:03.279000,3.520000,2.503074e+01,2.587189e+01,2.564869e+01,2.511244e+01,2.461447e+01,2.405824e+01
24,2000-02-03 07:02:03.439000,3.680000,2.509883e+01,2.586514e+01,2.559451e+01,2.505117e+01,2.463498e+01,2.407688e+01
25,2000-02-03 07:02:03.599000,3.840000,2.512605e+01,2.587865e+01,2.565546e+01,2.509202e+01,2.471015e+01,2.409586e+01
26,2000-02-03 07:02:03.759000,4.000000,2.507841e+01,2.593944e+01,2.570961e+01,2.518047e+01,2.472381e+01,2.411091e+01
27,2000-02-03 07:02:03.919000,4.160000,2.519407e+01,2.600019e+01,2.569608e+01,2.525525e+01,2.468965e+01,2.412034e+01
28,2000-02-03 07:02:04.081000,4.322000,2.516006e+01,2.624285e+01,2.568254e+01,2.535036e+01,2.477844e+01,2.413318e+01
29,2000-02-03 07:02:04.239000,4.480000,2.518047e+01,2.618224e+01,2.570285e+01,2.532319e+01,2.468965e+01,2.414590e+01
30,2000-02-03 07:02:04.399000,4.640000,2.528243e+01,2.610811e+01,2.579755e+01,2.529602e+01,2.469649e+01,2.416132e+01
31,2000-02-03 07:02:04.559000,4.800000,2.524166e+01,2.631689e+01,2.582459e+01,2.542502e+01,2.466232e+01,2.418680e+01
32,2000-02-03 07:02:04.719000,4.960000,2.529602e+01,2.627651e+01,2.581783e+01,2.537072e+01,2.468282e+01,2.420178e+01
33,2000-02-03 07:02:04.879000,5.120000,2.524166e+01,2.628997e+01,2.591243e+01,2.541145e+01,2.477162e+01,2.421338e+01
34,2000-02-03 07:02:05.040000,5.281000,2.532319e+01,2.633035e+01,2.587865e+01,2.545894e+01,2.486716e+01,2.422802e+01
35,2000-02-03 07:02:05.200000,5.441000,2.533677e+01,2.645809e+01,2.591243e+01,2.548607e+01,2.475113e+01,2.423802e+01
36,2000-02-03 07:02:05.360000,5.601000,2.529602e+01,2.645137e+01,2.595294e+01,2.562161e+01,2.483305e+01,2.424702e+01
37,2000-02-03 07:02:05.520000,5.761000,2.539788e+01,2.645809e+01,2.593269e+01,2.558774e+01,2.478527e+01,2.426025e+01
38,2000-02-03 07:02:05.680000,5.921000,2.543180e+01,2.652526e+01,2.602718e+01,2.557419e+01,2.482622e+01,2.430068e+01
39,2000-02-03 07:02:05.840000,6.081000,2.554031e+01,2.653197e+01,2.608788e+01,2.554708e+01,2.479210e+01,2.432099e+01
40,2000-02-03 07:02:06.000000,6.241000,2.549963e+01,2.665277e+01,2.606091e+01,2.566224e+01,2.482622e+01,2.433446e+01
41,2000-02-03 07:02:06.160000,6.401000,2.542502e+01,2.669971e+01,2.610811e+01,2.562161e+01,2.483987e+01,2.434413e+01
42,2000-02-03 07:02:06.320000,6.561000,2.542502e+01,2.671982e+01,2.616203e+01,2.565546e+01,2.494898e+01,2.435458e+01
43,2000-02-03 07:02:06.480000,6.721000,2.547929e+01,2.676673e+01,2.624959e+01,2.568254e+01,2.493535e+01,2.437118e+01
44,2000-02-03 07:02:06.640000,6.881000,2.551997e+01,2.673322e+01,2.620918e+01,2.575021e+01,2.487398e+01,2.437958e+01
45,2000-02-03 07:02:06.800000,7.041000,2.549285e+01,2.669971e+01,2.616203e+01,2.567577e+01,2.491490e+01,2.432463e+01
46,2000-02-03 07:02:06.960000,7.201000,2.544537e+01,2.670641e+01,2.615529e+01,2.565546e+01,2.485351e+01,2.432036e+01
