frame,abstime,reltime,april3_microphoneBoardA_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardA_4.seq:Polygon 1 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 07:31:06.808000,0.000000,2.425830e+01,2.405913e+01,2.386648e+01,2.408663e+01,2.436802e+01,2.366959e+01
2,2000-02-03 07:31:06.969000,0.161000,2.437487e+01,2.405226e+01,2.388025e+01,2.396285e+01,2.453922e+01,2.368464e+01
3,2000-02-03 07:31:07.129000,0.321000,2.440228e+01,2.414846e+01,2.390091e+01,2.399725e+01,2.450500e+01,2.368831e+01
4,2000-02-03 07:31:07.289000,0.481000,2.445708e+01,2.412785e+01,2.394221e+01,2.401788e+01,2.445023e+01,2.368569e+01
5,2000-02-03 07:31:07.449000,0.641000,2.438858e+01,2.411411e+01,2.383892e+01,2.402476e+01,2.440913e+01,2.368618e+01
6,2000-02-03 07:31:07.609000,0.801000,2.440228e+01,2.414846e+01,2.385959e+01,2.397661e+01,2.442968e+01,2.369262e+01
7,2000-02-03 07:31:07.769000,0.961000,2.438172e+01,2.416220e+01,2.382515e+01,2.397661e+01,2.451185e+01,2.369244e+01
8,2000-02-03 07:31:07.929000,1.121000,2.438858e+01,2.423771e+01,2.383892e+01,2.399037e+01,2.449816e+01,2.369172e+01
9,2000-02-03 07:31:08.089000,1.281000,2.440913e+01,2.407975e+01,2.388025e+01,2.399725e+01,2.445708e+01,2.369111e+01
10,2000-02-03 07:31:08.249000,1.441000,2.453922e+01,2.414846e+01,2.409350e+01,2.402476e+01,2.449816e+01,2.370634e+01
11,2000-02-03 07:31:08.409000,1.601000,2.457343e+01,2.412098e+01,2.447077e+01,2.423771e+01,2.453238e+01,2.373125e+01
12,2000-02-03 07:31:08.569000,1.761000,2.448447e+01,2.418966e+01,2.466232e+01,2.415533e+01,2.460079e+01,2.375277e+01
13,2000-02-03 07:31:08.729000,1.921000,2.455291e+01,2.445023e+01,2.495580e+01,2.421026e+01,2.465549e+01,2.377524e+01
14,2000-02-03 07:31:08.889000,2.081000,2.454607e+01,2.449131e+01,2.511924e+01,2.423085e+01,2.468965e+01,2.380206e+01
15,2000-02-03 07:31:09.049000,2.241000,2.458711e+01,2.466915e+01,2.530961e+01,2.426516e+01,2.468965e+01,2.382134e+01
16,2000-02-03 07:31:09.209000,2.401000,2.458027e+01,2.473747e+01,2.539109e+01,2.436116e+01,2.479210e+01,2.384375e+01
17,2000-02-03 07:31:09.369000,2.561000,2.475796e+01,2.492171e+01,2.559451e+01,2.449816e+01,2.486034e+01,2.390145e+01
18,2000-02-03 07:31:09.529000,2.721000,2.471015e+01,2.511924e+01,2.565546e+01,2.451869e+01,2.477162e+01,2.392221e+01
19,2000-02-03 07:31:09.689000,2.881000,2.473747e+01,2.516006e+01,2.561483e+01,2.458711e+01,2.483987e+01,2.394104e+01
20,2000-02-03 07:31:09.849000,3.041000,2.481940e+01,2.518047e+01,2.583811e+01,2.468965e+01,2.488080e+01,2.396449e+01
21,2000-02-03 07:31:10.009000,3.201000,2.481940e+01,2.536394e+01,2.581107e+01,2.468282e+01,2.488080e+01,2.397949e+01
22,2000-02-03 07:31:10.169000,3.361000,2.483987e+01,2.534357e+01,2.588541e+01,2.477844e+01,2.499668e+01,2.399186e+01
23,2000-02-03 07:31:10.329000,3.521000,2.485351e+01,2.542502e+01,2.591243e+01,2.488762e+01,2.486034e+01,2.401195e+01
24,2000-02-03 07:31:10.489000,3.681000,2.492853e+01,2.544537e+01,2.594619e+01,2.494898e+01,2.493535e+01,2.405058e+01
25,2000-02-03 07:31:10.649000,3.841000,2.496261e+01,2.556064e+01,2.596644e+01,2.493535e+01,2.494898e+01,2.407366e+01
26,2000-02-03 07:31:10.809000,4.001000,2.500350e+01,2.562161e+01,2.605416e+01,2.511244e+01,2.485351e+01,2.409339e+01
27,2000-02-03 07:31:10.969000,4.161000,2.501712e+01,2.560806e+01,2.600694e+01,2.512605e+01,2.494898e+01,2.410128e+01
28,2000-02-03 07:31:11.129000,4.321000,2.505117e+01,2.565546e+01,2.609463e+01,2.512605e+01,2.503074e+01,2.411496e+01
29,2000-02-03 07:31:11.289000,4.481000,2.511924e+01,2.570285e+01,2.619571e+01,2.513285e+01,2.505798e+01,2.412830e+01
30,2000-02-03 07:31:11.449000,4.641000,2.508521e+01,2.578402e+01,2.622939e+01,2.526205e+01,2.501031e+01,2.414716e+01
31,2000-02-03 07:31:11.609000,4.801000,2.520087e+01,2.581783e+01,2.626305e+01,2.527564e+01,2.507160e+01,2.414548e+01
32,2000-02-03 07:31:11.769000,4.961000,2.513966e+01,2.579755e+01,2.628324e+01,2.528923e+01,2.505117e+01,2.415857e+01
33,2000-02-03 07:31:11.929000,5.121000,2.515326e+01,2.581783e+01,2.634380e+01,2.528923e+01,2.503074e+01,2.417030e+01
34,2000-02-03 07:31:12.089000,5.281000,2.521447e+01,2.585838e+01,2.639087e+01,2.546572e+01,2.506479e+01,2.419078e+01
35,2000-02-03 07:31:12.249000,5.441000,2.531640e+01,2.585838e+01,2.634380e+01,2.536394e+01,2.499668e+01,2.420148e+01
36,2000-02-03 07:31:12.409000,5.601000,2.525525e+01,2.590567e+01,2.641104e+01,2.539109e+01,2.505117e+01,2.421458e+01
37,2000-02-03 07:31:12.569000,5.761000,2.527564e+01,2.588541e+01,2.631016e+01,2.544537e+01,2.505117e+01,2.417626e+01
38,2000-02-03 07:31:12.729000,5.921000,2.526884e+01,2.594619e+01,2.637743e+01,2.537072e+01,2.502393e+01,2.417604e+01
39,2000-02-03 07:31:12.889000,6.081000,2.526884e+01,2.587189e+01,2.645137e+01,2.537072e+01,2.500350e+01,2.419217e+01
40,2000-02-03 07:31:13.049000,6.241000,2.528243e+01,2.588541e+01,2.646481e+01,2.539109e+01,2.504436e+01,2.419835e+01
41,2000-02-03 07:31:13.209000,6.401000,2.532998e+01,2.594619e+01,2.642449e+01,2.554708e+01,2.505117e+01,2.421258e+01
42,2000-02-03 07:31:13.369000,6.561000,2.533677e+01,2.593944e+01,2.639087e+01,2.548607e+01,2.493535e+01,2.422213e+01
43,2000-02-03 07:31:13.529000,6.721000,2.533677e+01,2.593944e+01,2.620918e+01,2.553353e+01,2.509202e+01,2.423486e+01
44,2000-02-03 07:31:13.689000,6.881000,2.537072e+01,2.595969e+01,2.621592e+01,2.546572e+01,2.503755e+01,2.420828e+01
45,2000-02-03 07:31:13.849000,7.041000,2.541823e+01,2.598669e+01,2.618898e+01,2.552675e+01,2.496943e+01,2.421506e+01
46,2000-02-03 07:31:14.009000,7.201000,2.537072e+01,2.599344e+01,2.618224e+01,2.558774e+01,2.493535e+01,2.422598e+01
47,2000-02-03 07:31:14.169000,7.361000,2.541823e+01,2.606091e+01,2.614855e+01,2.556741e+01,2.497624e+01,2.424418e+01
48,2000-02-03 07:31:14.329000,7.521000,2.544537e+01,2.604742e+01,2.618898e+01,2.560806e+01,2.506479e+01,2.425505e+01
49,2000-02-03 07:31:14.489000,7.681000,2.539788e+01,2.607440e+01,2.613507e+01,2.570285e+01,2.495580e+01,2.426140e+01
50,2000-02-03 07:31:14.649000,7.841000,2.550641e+01,2.610137e+01,2.607440e+01,2.570961e+01,2.499668e+01,2.427425e+01
51,2000-02-03 07:31:14.809000,8.001000,2.544537e+01,2.609463e+01,2.622265e+01,2.566900e+01,2.492853e+01,2.428111e+01
52,2000-02-03 07:31:14.969000,8.161000,2.556064e+01,2.623612e+01,2.610811e+01,2.572991e+01,2.509202e+01,2.432098e+01
53,2000-02-03 07:31:15.129000,8.321000,2.549285e+01,2.611485e+01,2.617550e+01,2.569608e+01,2.509883e+01,2.433142e+01
54,2000-02-03 07:31:15.289000,8.481000,2.554031e+01,2.613507e+01,2.618898e+01,2.578402e+01,2.503074e+01,2.433863e+01
55,2000-02-03 07:31:15.449000,8.641000,2.556064e+01,2.619571e+01,2.618224e+01,2.576373e+01,2.496261e+01,2.434980e+01
56,2000-02-03 07:31:15.609000,8.801000,2.560129e+01,2.619571e+01,2.622265e+01,2.586514e+01,2.510563e+01,2.435617e+01
57,2000-02-03 07:31:15.769000,8.961000,2.556064e+01,2.621592e+01,2.624285e+01,2.581783e+01,2.513285e+01,2.436555e+01
58,2000-02-03 07:31:15.929000,9.121000,2.562161e+01,2.617550e+01,2.620245e+01,2.579755e+01,2.509202e+01,2.437084e+01
59,2000-02-03 07:31:16.089000,9.281000,2.560806e+01,2.623612e+01,2.622939e+01,2.584487e+01,2.513285e+01,2.438309e+01
60,2000-02-03 07:31:16.249000,9.441000,2.564192e+01,2.622265e+01,2.623612e+01,2.587865e+01,2.516006e+01,2.438786e+01
