frame,abstime,reltime,april3_microphoneBoardD_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardD_4.seq:Polygon 1 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 08:01:16.798000,0.000000,2.477162e+01,2.434745e+01,2.420339e+01,2.441598e+01,2.486716e+01,2.404609e+01
2,2000-02-03 08:01:16.958000,0.160000,2.471698e+01,2.440913e+01,2.417593e+01,2.433374e+01,2.490808e+01,2.402439e+01
3,2000-02-03 08:01:17.118000,0.320000,2.474430e+01,2.443653e+01,2.434745e+01,2.439543e+01,2.491490e+01,2.402763e+01
4,2000-02-03 08:01:17.278000,0.480000,2.484669e+01,2.438172e+01,2.430631e+01,2.431317e+01,2.500350e+01,2.402876e+01
5,2000-02-03 08:01:17.438000,0.640000,2.475796e+01,2.436116e+01,2.426516e+01,2.431317e+01,2.494217e+01,2.402618e+01
6,2000-02-03 08:01:17.598000,0.800000,2.464181e+01,2.436116e+01,2.423771e+01,2.433374e+01,2.491490e+01,2.402766e+01
7,2000-02-03 08:01:17.758000,0.960000,2.470332e+01,2.434745e+01,2.428574e+01,2.436802e+01,2.500350e+01,2.403432e+01
8,2000-02-03 08:01:17.918000,1.120000,2.480575e+01,2.432003e+01,2.423771e+01,2.435431e+01,2.483305e+01,2.403849e+01
9,2000-02-03 08:01:18.078000,1.280000,2.471015e+01,2.434060e+01,2.431317e+01,2.434745e+01,2.494898e+01,2.404608e+01
10,2000-02-03 08:01:18.238000,1.440000,2.468965e+01,2.440228e+01,2.480575e+01,2.447077e+01,2.498306e+01,2.406615e+01
11,2000-02-03 08:01:18.398000,1.600000,2.473747e+01,2.453238e+01,2.519407e+01,2.455291e+01,2.507160e+01,2.408303e+01
12,2000-02-03 08:01:18.558000,1.760000,2.475113e+01,2.466232e+01,2.537072e+01,2.459395e+01,2.512605e+01,2.410522e+01
13,2000-02-03 08:01:18.718000,1.920000,2.479210e+01,2.478527e+01,2.550641e+01,2.460079e+01,2.516687e+01,2.412532e+01
14,2000-02-03 08:01:18.878000,2.080000,2.488080e+01,2.505798e+01,2.568931e+01,2.464181e+01,2.515326e+01,2.415001e+01
15,2000-02-03 08:01:19.038000,2.240000,2.490126e+01,2.513966e+01,2.593269e+01,2.467599e+01,2.522807e+01,2.417323e+01
16,2000-02-03 08:01:19.198000,2.400000,2.487398e+01,2.527564e+01,2.590567e+01,2.478527e+01,2.528923e+01,2.418259e+01
17,2000-02-03 08:01:19.358000,2.560000,2.489444e+01,2.528243e+01,2.603393e+01,2.488080e+01,2.531640e+01,2.420000e+01
18,2000-02-03 08:01:19.518000,2.720000,2.500350e+01,2.535036e+01,2.613507e+01,2.488080e+01,2.525525e+01,2.422020e+01
19,2000-02-03 08:01:19.678000,2.880000,2.503755e+01,2.547251e+01,2.626978e+01,2.494217e+01,2.535036e+01,2.424100e+01
20,2000-02-03 08:01:19.838000,3.040000,2.509883e+01,2.554031e+01,2.633035e+01,2.500350e+01,2.534357e+01,2.426331e+01
21,2000-02-03 08:01:19.998000,3.200000,2.510563e+01,2.560806e+01,2.636398e+01,2.507841e+01,2.535036e+01,2.427914e+01
22,2000-02-03 08:01:20.158000,3.360000,2.514646e+01,2.560806e+01,2.645137e+01,2.524846e+01,2.532319e+01,2.429665e+01
23,2000-02-03 08:01:20.318000,3.520000,2.524846e+01,2.566224e+01,2.645137e+01,2.522807e+01,2.529602e+01,2.429400e+01
24,2000-02-03 08:01:20.478000,3.680000,2.526205e+01,2.577050e+01,2.652526e+01,2.518047e+01,2.537751e+01,2.429809e+01
25,2000-02-03 08:01:20.638000,3.840000,2.522807e+01,2.585162e+01,2.650511e+01,2.526205e+01,2.540466e+01,2.431734e+01
26,2000-02-03 08:01:20.798000,4.000000,2.529602e+01,2.580431e+01,2.658568e+01,2.535715e+01,2.532319e+01,2.432195e+01
27,2000-02-03 08:01:20.959000,4.161000,2.530282e+01,2.597994e+01,2.661252e+01,2.546572e+01,2.532319e+01,2.433776e+01
28,2000-02-03 08:01:21.118000,4.320000,2.535036e+01,2.592593e+01,2.665948e+01,2.535036e+01,2.535036e+01,2.434792e+01
29,2000-02-03 08:01:21.278000,4.480000,2.535715e+01,2.598669e+01,2.672652e+01,2.545894e+01,2.529602e+01,2.436637e+01
30,2000-02-03 08:01:21.439000,4.641000,2.534357e+01,2.607440e+01,2.669971e+01,2.547929e+01,2.537751e+01,2.437405e+01
31,2000-02-03 08:01:21.598000,4.800000,2.541145e+01,2.599344e+01,2.674663e+01,2.553353e+01,2.532998e+01,2.438930e+01
32,2000-02-03 08:01:21.758000,4.960000,2.542502e+01,2.601369e+01,2.672652e+01,2.561483e+01,2.535036e+01,2.440185e+01
33,2000-02-03 08:01:21.919000,5.121000,2.556064e+01,2.606765e+01,2.677343e+01,2.561483e+01,2.538430e+01,2.440867e+01
34,2000-02-03 08:01:22.079000,5.281000,2.553353e+01,2.615529e+01,2.687387e+01,2.565546e+01,2.539788e+01,2.442791e+01
35,2000-02-03 08:01:22.239000,5.441000,2.551319e+01,2.613507e+01,2.683371e+01,2.567577e+01,2.547251e+01,2.444275e+01
36,2000-02-03 08:01:22.399000,5.601000,2.563515e+01,2.620918e+01,2.684040e+01,2.587189e+01,2.542502e+01,2.447433e+01
37,2000-02-03 08:01:22.559000,5.761000,2.561483e+01,2.629670e+01,2.692071e+01,2.585838e+01,2.551997e+01,2.454141e+01
